,store_id,order_id,profit,delivery_distance,planned_prep_time,region_id,order_price,items_count,prepared_on_time
123,11339.0,20562339.0,23.542,2695.0,30.0,707.0,430.3,5.0,1.0
128,3978.0,20562335.0,32.232,1126.0,25.0,695.0,50.95,2.0,1.0
130,11739.0,20562333.0,101.752,6669.0,20.0,685.0,37.519999999999996,2.0,1.0
132,3148.0,20562329.0,73.1224,1891.0,25.0,683.0,115.43,4.0,1.0
136,7917.0,20562313.0,16.985,1948.0,20.0,703.0,109.38,2.0,1.0
138,9991.0,20562309.0,18.96,1757.0,15.0,683.0,6.17,1.0,1.0
139,9859.0,20562299.0,10.586,356.0,20.0,703.0,51.24,3.0,1.0
142,9373.0,20562295.0,43.45,2452.0,20.0,683.0,82.77,2.0,1.0
144,3503.0,20562293.0,39.895,1942.0,25.0,683.0,165.55,3.0,1.0
147,10825.0,20562285.0,46.136,4031.0,25.0,683.0,57.37,4.0,1.0
151,11415.0,20562273.0,12.64,1759.0,15.0,707.0,162.31,2.0,0.0
153,4482.0,20562269.0,68.256,2032.0,30.0,683.0,73.99000000000001,2.0,1.0
155,3196.0,20562261.0,22.120000000000005,2973.0,40.0,683.0,197.25,5.0,1.0
160,11415.0,20562257.0,3.95,1371.0,10.0,707.0,53.45,1.0,1.0
161,11087.0,20562253.0,64.385,4858.0,25.0,683.0,157.68,3.0,1.0
164,4624.0,20562249.0,12.166,5003.0,25.0,707.0,180.92,3.0,1.0
167,8315.0,20562245.0,45.82,6564.0,20.0,683.0,147.5,5.0,1.0
172,7331.0,20562243.0,43.845,4338.0,50.0,695.0,25.75,3.0,1.0
175,3219.0,20562241.0,7.505000000000001,5840.0,35.0,685.0,44.269999999999996,2.0,1.0
177,3750.0,20562233.0,130.824,2979.0,30.0,683.0,54.6,3.0,0.0
180,3058.0,20562227.0,57.275,1030.0,20.0,683.0,60.68,3.0,1.0
183,7283.0,20562225.0,43.608,8657.0,15.0,707.0,65.58,2.0,0.0
185,3053.0,20562223.0,30.02,3390.0,40.0,683.0,85.77,3.0,1.0
188,8717.0,20562221.0,10.112000000000002,1861.0,10.0,683.0,38.88,2.0,1.0
190,4710.0,20562219.0,13.825,4013.0,15.0,703.0,10.65,1.0,1.0
191,5863.0,20562209.0,18.6773783261915,4653.0,15.0,703.0,34.480000000000004,2.0,1.0
193,3058.0,20562207.0,68.256,2591.0,20.0,683.0,12.04,2.0,0.0
195,5528.0,20562193.0,102.305,5174.0,20.0,685.0,237.68,6.0,1.0
201,4751.0,20562187.0,5.53,3374.0,25.0,691.0,14.18,1.0,1.0
202,4751.0,20562181.0,7.584,5847.0,25.0,691.0,18.12,1.0,1.0
203,3503.0,20562179.0,10.428,2886.0,20.0,683.0,124.94999999999999,3.0,1.0
206,5212.0,20562177.0,36.76415271983933,5210.0,20.0,683.0,20.34,2.0,1.0
208,9859.0,20562171.0,17.38,2159.0,20.0,703.0,13.94,2.0,1.0
210,8201.0,20562169.0,63.328802987527524,2570.0,25.0,695.0,68.05,5.0,1.0
215,10881.0,20562167.0,7.109999999999999,2824.0,10.0,707.0,40.56,2.0,1.0
217,9887.0,20562163.0,60.04,3657.0,25.0,685.0,49.519999999999996,3.0,1.0
220,8679.0,20562159.0,19.75,227.0,45.0,707.0,112.44999999999999,2.0,1.0
222,6399.0,20562147.0,68.256,3937.0,33.0,683.0,131.01,2.0,1.0
224,11575.0,20562145.0,10.112000000000002,5041.0,20.0,691.0,144.85,2.0,1.0
226,3149.0,20562143.0,26.465,3730.0,25.0,685.0,31.68,2.0,0.0
228,3255.0,20562123.0,43.2604,4596.0,35.0,683.0,27.82,2.0,0.0
230,5863.0,20562121.0,48.98,2649.0,15.0,703.0,209.86,3.0,1.0
233,6763.0,20562117.0,38.394,3631.0,20.0,683.0,119.21,2.0,0.0
235,10935.0,20562109.0,30.336,4494.0,15.0,707.0,66.48,3.0,1.0
238,9991.0,20562105.0,36.577,3471.0,15.0,683.0,31.0,4.0,1.0
242,11449.0,20562101.0,6.32,4730.0,20.0,695.0,194.37,1.0,1.0
243,10897.0,20562093.0,36.656,1865.0,15.0,683.0,258.5,2.0,1.0
245,11449.0,20562081.0,1.106,1887.0,20.0,695.0,66.85,1.0,1.0
246,3503.0,20562077.0,15.957999999999998,14120.0,20.0,683.0,280.83000000000004,3.0,1.0
